Quarter_Info_y_x,Period,polarity_Beige_book_x,PCEPI_PCH,CPIAUCSL_PCH,LNS11027662_PCH,FEDFUNDS_PCH,GCEC1_PCH_x,Homes_Sold_x,Goods,Nonresidential,Exports,Nondefense,MORTMRGN5US_PCH,PPIACO_PCH,MORTGAGE5US_PCH_x
2010Q1,12/1/2006,0.046642205,0.38657,0.1585,-0.87085,-0.71575,-0.42916,-0.004985045,0.007521774,0.006976134,0.023913069,0.021247595,-0.08251,1.19004,-3.11093
2010Q2,1/1/2007,0.073842265,0.1548,-0.03527,0.39182,-13.59423,0.30799,-0.107214429,0.01363564,0.03280154,0.021977386,0.023602497,0.227,0.21712,-5.05547
2010Q3,2/1/2007,0.060455132,0.19294,0.29315,0.65121,-22.64601,-0.7058,-0.070707071,0.007522342,0.027071538,0.028525808,-0.008974027,-0.01401,1.82343,-8.73674
2010Q4,3/1/2007,0.077796669,0.64004,0.80972,0.35816,-19.18336,-0.63655,0.006038647,0.0138925,0.019440771,0.027371318,-0.008852126,0.1261,4.20213,-3.4869
2011Q1,4/1/2007,0.073766193,0.84046,1.06722,0.33098,-38.98951,-1.22648,0.06482593,0.004994718,-0.001354765,0.008552046,-0.006695949,-0.16793,3.98162,6.15284
2011Q2,5/1/2007,0.082447393,0.98272,1.13701,0.80536,-18.75,-0.67732,-0.050732807,-0.003684049,0.025844428,0.016895302,-0.017972957,-0.11214,0.06546,-7.5495
2011Q3,6/1/2007,0.064793299,0.46211,0.65207,0.15865,0.96154,-1.42868,-0.058194774,0.000348257,0.046834024,0.013741,-0.036243558,-0.1684,-1.5045,-9.59393
2011Q4,7/1/2007,0.067798983,0.33045,0.4489,0.48158,-0.57143,-0.07137,-0.018915511,0.00722894,0.025532872,0.007514379,0.026486559,0.22491,0.69733,-5.35538
2012Q1,8/1/2007,0.080521208,0.66276,0.56317,1.26816,-17.04981,-0.42855,-0.101542416,0.012676758,0.025544397,0.012195247,0.011399498,-0.08415,-0.18137,-3.70274
2012Q2,9/1/2007,0.101598755,0.24146,0.2111,0.55284,-13.39492,-0.52299,-0.018597997,-0.000180694,0.022465162,0.009875171,-0.000530048,0,0.29732,-0.6228
2012Q3,10/1/2007,0.081780127,0.29065,0.45147,0.6699,-0.26667,-0.15128,0.059766764,0.004407719,-0.00335497,0.006135399,0.001250775,0.1123,-0.06588,-2.56131
2012Q4,11/1/2007,0.07469011,0.5613,0.66495,1.01023,-18.4492,-0.98175,-0.11829436,0.007117367,0.010877926,0.001014673,-0.000559647,-0.08413,0.6592,-0.95078
2013Q1,12/1/2007,0.079029893,0.36008,0.40195,0.64855,-1.96721,-0.90139,-0.034321373,0.017191238,0.01291502,0.004799905,-0.020328577,0.14033,0.18009,-2.6821
2013Q2,1/1/2008,0.089237024,0.0713,-0.10949,0.57383,0.6689,-0.16818,0.012924071,0.000712327,0.002702254,0.009009989,-0.01106416,0.22422,0.09806,1.24746
2013Q3,2/1/2008,0.091540296,0.40636,0.54084,-0.51323,0.66445,-0.53568,-0.054226475,0.007176707,0.017074642,0.008596269,-0.004396739,-0.13982,-1.1102,18.68195
2013Q4,3/1/2008,0.085804094,0.41818,0.36977,1.02701,41.91419,-0.7881,-0.097807757,0.009429761,0.020470829,0.028746914,-0.019478769,-0.11201,1.78306,-6.18059
2014Q1,4/1/2008,0.070126216,0.48154,0.62279,0.95215,36.04651,-0.41337,0.001869159,0.006646589,0.014014005,-0.009692412,0.017677222,-0.0841,1.31387,3.11374
2014Q2,5/1/2008,0.071197092,0.50039,0.53108,0.10967,26.66667,0.12726,-0.059701493,0.017969264,0.026864126,0.021635028,-0.005204816,-0.28058,-0.51233,-2.02146
2014Q3,6/1/2008,0.08742275,0.28313,0.25583,0.04847,19.16329,0.67021,-0.033730159,0.011521578,0.020201656,0.004071038,0.008887172,0.14069,-3.23463,-0.89149
2014Q4,7/1/2008,0.080667929,-0.11468,-0.24844,1.95901,17.55379,-0.04858,-0.020533881,0.013453745,0.006115209,0.008239255,0.006117569,0.11038,-4.44038,-0.29372
2015Q1,8/1/2008,0.085168062,-0.41557,-0.64728,0.51028,15.0289,0.51781,-0.088050314,0.011960412,-0.001201575,-0.008144254,0.014475606,-0.02606,0.78315,-1.7632
2015Q2,9/1/2008,0.075591622,0.48453,0.68195,0.41898,11.97655,0.85375,-0.004597701,0.010592035,0.00456621,0.002640951,0.003295979,-0.08422,-0.72526,-0.71282
2015Q3,10/1/2008,0.086975183,0.24239,0.3777,1.46771,10.09723,0.45357,-0.092378753,0.011222012,0.003627622,-0.008337893,0.01184676,0.0562,-3.16577,0.92495
2015Q4,11/1/2008,0.080492866,-0.0993,-0.00757,0.92089,6.92935,0.36059,-0.010178117,0.003884558,-0.00803031,-0.001496418,0.006902959,0.23669,-1.92204,1.19702
2016Q1,12/1/2008,0.086488618,0.05325,-0.06209,0.27646,0,1.04763,-0.030848329,0.010025592,-0.001000939,-0.002941121,0.007550127,-0.1801,1.84982,-2.42487
2016Q2,1/1/2009,0.087894397,0.62768,0.79978,1.1549,0.1906,-0.1569,-0.108753316,0.008724499,0.006512625,0.007590561,0.001969396,-0.11226,0.9171,-3.31477
2016Q3,2/1/2009,0.078328326,0.37567,0.42447,0.81577,-0.12682,0.50938,0.107142857,0.009848858,0.013037024,0.015523607,-0.002083456,0.11239,0,-1.12452
2016Q4,3/1/2009,0.083929131,0.47326,0.63478,-0.24632,-3.36508,0.20854,-0.088709677,0.005376436,0.006456173,-0.00703262,0.003190798,-0.02807,2.24519,9.23717
2017Q1,4/1/2009,0.088511348,0.55017,0.70374,1.02909,-11.36662,-0.21,-0.005899705,0.0085784,0.012735308,0.023771439,-0.003750025,0,0.97595,6.19604
2017Q2,5/1/2009,0.086544447,0.28227,0.11538,1.1011,-29.35508,0.29805,0.115727003,0.010570682,0.010342582,0.004000867,-0.009292105,-0.02807,0.466,-2.5825
2017Q3,6/1/2009,0.078588638,0.37352,0.47804,1.02867,-34.3127,-0.07948,0.045212766,0.010827133,0.003038369,0.006692513,0.003252404,0.02808,0.85896,1.35002
2017Q4,7/1/2009,0.08075419,0.66858,0.79553,-0.28356,-7.02875,0.7037,0.045801527,0.019912198,0.020403054,0.023473591,0.010112226,0.1123,1.60109,2.90627
2018Q1,8/1/2009,0.086930208,0.65665,0.81541,1.55263,-73.88316,0.21307,0.01703163,0.003511469,0.024484789,0.004496246,0.015379633,0.25238,1.87762,9.50812
2018Q2,9/1/2009,0.085488454,0.58263,0.57237,0.72959,-63.81579,0.70335,-0.076555024,0.010408856,0.016579657,0.012272391,0.002793485,0.53147,0.5924,5.00752
2018Q3,10/1/2009,0.08885135,0.33462,0.43455,0.94776,-1.81818,0.24388,0.025906736,0.007149697,0.00695715,-0.015643916,0.008289636,-0.08347,-0.55619,3.27466
2018Q4,11/1/2009,0.07704666,0.40597,0.36528,1.48556,-12.96296,-0.20637,-0.053030303,0.005189516,0.011892044,0.001212438,-0.012705059,0.19493,-1.44761,4.91478
2019Q1,12/1/2009,0.068169514,0.10368,0.2385,0.41103,-23.40426,0.67795,-0.061333333,0.003326213,0.011513386,0.007762406,-0.009934641,-0.19455,0.83459,-4.96789
2019Q2,1/1/2010,0.078538034,0.67431,0.78578,-0.14196,11.11111,1.22962,-0.019886364,0.01696087,0.016296398,-0.005454938,0.038200863,-0.30632,-0.96011,-6.26118
2019Q3,2/1/2010,0.07421648,0.27799,0.369,0.81416,45,0.51232,-0.026086957,0.0119581,0.00726414,-0.00212962,0.005501389,-0.3352,-0.28414,-6.29771
2019Q4,3/1/2010,0.071334874,0.42794,0.60897,1.6684,-3.44828,0.74587,0.133928571,0.004503817,-0.004175226,0.002909433,-3.75E-05,0.19619,-1.25712,-0.13578
2020Q1,4/1/2010,0.078293892,0.31311,0.32301,0.58823,0,0.90641,0.107611549,0.000683943,-0.020866498,-0.043575691,0.017960369,0.02797,-4.04006,-4.01088
2020Q2,5/1/2010,0.060663298,-0.40826,-0.85055,0.95803,-16.07143,0.9506,-0.336492891,-0.025964459,-0.086412591,-0.204375386,0.106827302,-0.02796,3.0957,-1.84136
2020Q3,6/1/2010,0.075612032,0.90614,1.1775,0.68181,-40.42553,-0.5297,0.089285714,0.172561431,-0.040701117,0.187695504,0.000220722,0,2.14482,-7.09476
